waypoint_id,latitude,longitude,heading,speed,waypoint_type
1,40.76010731196296,-111.88861758198433,240.0,1.5,coverage
2,40.760026462033665,-111.88867754336141,240.0,1.5,coverage
3,40.75994561207361,-111.88873750459439,240.0,1.5,coverage
4,40.75986476208277,-111.88879746568323,240.0,1.5,coverage
5,40.759783912061174,-111.88885742662796,240.0,1.5,coverage
6,40.759703062008825,-111.88891738742858,240.0,1.5,coverage
7,40.759622211925695,-111.88897734808506,240.0,1.5,coverage
8,40.75954136181179,-111.88903730859747,240.0,1.5,coverage
9,40.759460511667136,-111.88909726896573,240.0,1.5,coverage
10,40.75937966149172,-111.88915722918988,240.0,1.5,coverage
11,40.75929881128552,-111.88921718926991,240.0,1.5,coverage
12,40.75921796104857,-111.88927714920584,240.0,1.5,coverage
13,40.75913711078084,-111.88933710899767,240.0,1.5,coverage
14,40.75915370508668,-111.88935370313772,60.0,1.5,coverage
15,40.75923447483667,-111.88929380307106,60.0,1.5,coverage
16,40.75931524455595,-111.88923390286057,60.0,1.5,coverage
17,40.75939601424452,-111.88917400250625,60.0,1.5,coverage
18,40.75947678390239,-111.88911410200812,60.0,1.5,coverage
19,40.75955755352955,-111.88905420136615,60.0,1.5,coverage
20,40.75963832312602,-111.88899430058036,60.0,1.5,coverage
21,40.75971909269176,-111.88893439965074,60.0,1.5,coverage
22,40.75979986222682,-111.88887449857728,60.0,1.5,coverage
23,40.75988063173116,-111.88881459736,60.0,1.5,coverage
24,40.7599614012048,-111.88875469599888,60.0,1.5,coverage
25,40.760042170647736,-111.88869479449393,60.0,1.5,coverage
26,40.76012294005995,-111.88863489284516,60.0,1.5,coverage
27,40.76020370944147,-111.88857499105255,60.0,1.5,coverage
28,40.76028447879228,-111.88851508911611,60.0,1.5,coverage
29,40.760365248112386,-111.88845518703582,60.0,1.5,coverage
30,40.7604460174018,-111.88839528481171,60.0,1.5,coverage
31,40.76052678666048,-111.88833538244376,60.0,1.5,coverage
32,40.760607555888456,-111.88827547993198,60.0,1.5,coverage
33,40.76062270088152,-111.88829314917669,240.0,1.5,coverage
34,40.76054201217027,-111.88835299195847,240.0,1.5,coverage
35,40.76046132342834,-111.8884128345967,240.0,1.5,coverage
36,40.76038063465579,-111.88847267709139,240.0,1.5,coverage
37,40.76029994585258,-111.8885325194425,240.0,1.5,coverage
38,40.76021925701873,-111.88859236165007,240.0,1.5,coverage
39,40.76013856815424,-111.8886522037141,240.0,1.5,coverage
40,40.760057879259094,-111.88871204563459,240.0,1.5,coverage
41,40.7599771903333,-111.88877188741154,240.0,1.5,coverage
42,40.75989650137687,-111.88883172904494,240.0,1.5,coverage
43,40.75981581238979,-111.88889157053478,240.0,1.5,coverage
44,40.759735123372074,-111.88895141188108,240.0,1.5,coverage
45,40.75965443432372,-111.88901125308385,240.0,1.5,coverage
46,40.75957374524471,-111.88907109414308,240.0,1.5,coverage
47,40.75949305613505,-111.88913093505874,240.0,1.5,coverage
48,40.75941236699475,-111.88919077583088,240.0,1.5,coverage
49,40.759331677823816,-111.88925061645948,240.0,1.5,coverage
50,40.75925098862223,-111.88931045694454,240.0,1.5,coverage
51,40.759170299390014,-111.88937029728606,240.0,1.5,coverage
