waypoint_id,latitude,longitude,heading,speed,waypoint_type
1,40.7598643183385,-111.88819086993615,60.0,1.5,coverage
2,40.75994632779923,-111.88813004796164,60.0,1.5,coverage
3,40.76002833722831,-111.88806922583886,60.0,1.5,coverage
4,40.760110346625744,-111.88800840356777,60.0,1.5,coverage
5,40.76019235599152,-111.88794758114841,60.0,1.5,coverage
6,40.76027436532561,-111.88788675858075,60.0,1.5,coverage
7,40.76028951038089,-111.8879044276487,240.0,1.5,coverage
8,40.760206739903936,-111.88796581470513,240.0,1.5,coverage
9,40.76012396939471,-111.88802720161048,240.0,1.5,coverage
10,40.760041198853244,-111.8880885883648,240.0,1.5,coverage
11,40.759958428279525,-111.88814997496806,240.0,1.5,coverage
12,40.75987565767357,-111.88821136142026,240.0,1.5,coverage
13,40.759792887035346,-111.8882727477214,240.0,1.5,coverage
14,40.7597101163649,-111.88833413387152,240.0,1.5,coverage
15,40.7596273456622,-111.88839551987058,240.0,1.5,coverage
16,40.759544574927254,-111.8884569057186,240.0,1.5,coverage
17,40.75946180416004,-111.88851829141555,240.0,1.5,coverage
18,40.759379033360595,-111.88857967696147,240.0,1.5,coverage
19,40.759296262528906,-111.88864106235636,240.0,1.5,coverage
20,40.75921349166495,-111.8887024476002,240.0,1.5,coverage
21,40.759130720768766,-111.88876383269297,240.0,1.5,coverage
22,40.759047949840344,-111.88882521763473,240.0,1.5,coverage
23,40.758965178879656,-111.88888660242543,240.0,1.5,coverage
24,40.758968145572126,-111.88891330298397,60.0,1.5,coverage
25,40.75904676403199,-111.88885499782359,60.0,1.5,coverage
26,40.75912538246277,-111.88879669252692,60.0,1.5,coverage
27,40.75920400086446,-111.88873838709401,60.0,1.5,coverage
28,40.75928261923705,-111.88868008152481,60.0,1.5,coverage
29,40.759361237580556,-111.88862177581936,60.0,1.5,coverage
30,40.75943985589498,-111.88856346997764,60.0,1.5,coverage
31,40.75951847418029,-111.88850516399964,60.0,1.5,coverage
32,40.75959709243651,-111.88844685788538,60.0,1.5,coverage
33,40.75967571066365,-111.88838855163485,60.0,1.5,coverage
34,40.75975432886169,-111.88833024524804,60.0,1.5,coverage
35,40.75983294703063,-111.88827193872496,60.0,1.5,coverage
36,40.75991156517049,-111.8882136320656,60.0,1.5,coverage
37,40.75999018328126,-111.88815532526998,60.0,1.5,coverage
38,40.76006880136292,-111.88809701833807,60.0,1.5,coverage
39,40.76014741941548,-111.88803871126989,60.0,1.5,coverage
40,40.760226037438976,-111.88798040406544,60.0,1.5,coverage
41,40.760304655433345,-111.88792209672471,60.0,1.5,coverage
42,40.76031980048298,-111.88793976580874,240.0,1.5,coverage
43,40.76024046611854,-111.88799860443277,240.0,1.5,coverage
44,40.76016113172447,-111.88805744291803,240.0,1.5,coverage
45,40.76008179730077,-111.88811628126452,240.0,1.5,coverage
46,40.76000246284747,-111.88817511947222,240.0,1.5,coverage
47,40.75992312836452,-111.88823395754117,240.0,1.5,coverage
48,40.759843793851935,-111.88829279547134,240.0,1.5,coverage
49,40.75976445930974,-111.88835163326276,240.0,1.5,coverage
50,40.75968512473793,-111.8884104709154,240.0,1.5,coverage
51,40.75960579013647,-111.88846930842926,240.0,1.5,coverage
52,40.75952645550541,-111.88852814580439,240.0,1.5,coverage
53,40.759447120844705,-111.88858698304072,240.0,1.5,coverage
54,40.759367786154385,-111.88864582013831,240.0,1.5,coverage
55,40.75928845143443,-111.88870465709712,240.0,1.5,coverage
56,40.759209116684865,-111.88876349391717,240.0,1.5,coverage
57,40.75912978190566,-111.88882233059847,240.0,1.5,coverage
58,40.75905044709684,-111.888881167141,240.0,1.5,coverage
59,40.758971112258386,-111.88894000354476,240.0,1.5,coverage
60,40.758974078938444,-111.88896670410783,60.0,1.5,coverage
61,40.75905413015571,-111.8889073364612,60.0,1.5,coverage
62,40.7591341813428,-111.88884796867329,60.0,1.5,coverage
63,40.759214232499744,-111.8887886007441,60.0,1.5,coverage
64,40.759294283626524,-111.88872923267363,60.0,1.5,coverage
65,40.75937433472313,-111.88866986446189,60.0,1.5,coverage
66,40.75945438578959,-111.88861049610885,60.0,1.5,coverage
67,40.759534436825874,-111.88855112761455,60.0,1.5,coverage
68,40.75961448783198,-111.88849175897896,60.0,1.5,coverage
69,40.75969453880796,-111.88843239020208,60.0,1.5,coverage
70,40.75977458975375,-111.88837302128393,60.0,1.5,coverage
71,40.75985464066939,-111.88831365222448,60.0,1.5,coverage
72,40.75993469155486,-111.88825428302376,60.0,1.5,coverage
73,40.76001474241018,-111.88819491368174,60.0,1.5,coverage
74,40.760094793235325,-111.88813554419845,60.0,1.5,coverage
75,40.760174844030296,-111.88807617457385,60.0,1.5,coverage
76,40.76025489479511,-111.88801680480796,60.0,1.5,coverage
77,40.76033494552976,-111.8879574349008,60.0,1.5,coverage
78,40.76035009057372,-111.8879751040009,240.0,1.5,coverage
79,40.760269323468705,-111.88803500519106,240.0,1.5,coverage
80,40.76018855633297,-111.88809490623737,240.0,1.5,coverage
81,40.76010778916653,-111.88815480713986,240.0,1.5,coverage
82,40.76002702196939,-111.88821470789853,240.0,1.5,coverage
83,40.75994625474154,-111.88827460851336,240.0,1.5,coverage
84,40.759865487482976,-111.88833450898437,240.0,1.5,coverage
85,40.759784720193714,-111.88839440931154,240.0,1.5,coverage
86,40.75970395287375,-111.8884543094949,240.0,1.5,coverage
87,40.75962318552307,-111.88851420953445,240.0,1.5,coverage
88,40.759542418141685,-111.88857410943017,240.0,1.5,coverage
89,40.7594616507296,-111.88863400918206,240.0,1.5,coverage
90,40.759380883286816,-111.88869390879012,240.0,1.5,coverage
91,40.759300115813325,-111.88875380825435,240.0,1.5,coverage
92,40.759219348309124,-111.88881370757478,240.0,1.5,coverage
93,40.75913858077423,-111.8888736067514,240.0,1.5,coverage
94,40.75905781320861,-111.8889335057842,240.0,1.5,coverage
95,40.758977045612305,-111.88899340467316,240.0,1.5,coverage
96,40.75898001227996,-111.88902010524076,60.0,1.5,coverage
97,40.759061496255555,-111.88895967510996,60.0,1.5,coverage
98,40.7591429801999,-111.88889924483279,60.0,1.5,coverage
99,40.759224464113,-111.88883881440923,60.0,1.5,coverage
100,40.75930594799484,-111.8887783838393,60.0,1.5,coverage
101,40.75938743184543,-111.88871795312298,60.0,1.5,coverage
102,40.759468915664755,-111.88865752226027,60.0,1.5,coverage
103,40.759550399452856,-111.8885970912512,60.0,1.5,coverage
104,40.75963188320971,-111.88853666009572,60.0,1.5,coverage
105,40.75971336693528,-111.88847622879386,60.0,1.5,coverage
106,40.75979485062961,-111.88841579734563,60.0,1.5,coverage
107,40.759876334292706,-111.888355365751,60.0,1.5,coverage
108,40.75995781792454,-111.88829493400998,60.0,1.5,coverage
109,40.7600393015251,-111.88823450212257,60.0,1.5,coverage
110,40.76012078509442,-111.88817407008878,60.0,1.5,coverage
111,40.76020226863249,-111.88811363790859,60.0,1.5,coverage
112,40.7602837521393,-111.88805320558201,60.0,1.5,coverage
113,40.76036523561487,-111.88799277310903,60.0,1.5,coverage
114,40.76038038065318,-111.88801044222522,240.0,1.5,coverage
115,40.76029818080693,-111.88807140598085,240.0,1.5,coverage
116,40.76021598092887,-111.88813236958751,240.0,1.5,coverage
117,40.760133781019015,-111.88819333304518,240.0,1.5,coverage
118,40.760051581077335,-111.88825429635389,240.0,1.5,coverage
119,40.75996938110386,-111.8883152595136,240.0,1.5,coverage
120,40.75988718109857,-111.88837622252437,240.0,1.5,coverage
121,40.759804981061485,-111.88843718538615,240.0,1.5,coverage
122,40.7597227809926,-111.88849814809896,240.0,1.5,coverage
123,40.75964058089188,-111.8885591106628,240.0,1.5,coverage
124,40.75955838075939,-111.88862007307766,240.0,1.5,coverage
125,40.75947618059509,-111.88868103534355,240.0,1.5,coverage
126,40.75939398039898,-111.88874199746049,240.0,1.5,coverage
127,40.759311780171075,-111.88880295942845,240.0,1.5,coverage
128,40.759229579911356,-111.88886392124743,240.0,1.5,coverage
129,40.75914737961985,-111.88892488291745,240.0,1.5,coverage
