waypoint_id,latitude,longitude,heading,speed,waypoint_type
1,40.75995892345419,-111.88843862034071,240.0,1.5,coverage
2,40.75987858379386,-111.88849820343772,240.0,1.5,coverage
3,40.75979824410316,-111.88855778639241,240.0,1.5,coverage
4,40.75971790438206,-111.8886173692048,240.0,1.5,coverage
5,40.75963756463058,-111.88867695187488,240.0,1.5,coverage
6,40.759557224848734,-111.88873653440267,240.0,1.5,coverage
7,40.75947688503651,-111.88879611678814,240.0,1.5,coverage
8,40.75939654519389,-111.88885569903131,240.0,1.5,coverage
9,40.7593162053209,-111.8889152811322,240.0,1.5,coverage
10,40.75923586541753,-111.88897486309078,240.0,1.5,coverage
11,40.759155525483784,-111.88903444490705,240.0,1.5,coverage
12,40.75907518551965,-111.88909402658102,240.0,1.5,coverage
13,40.75899484552515,-111.88915360811271,240.0,1.5,coverage
14,40.75899781215556,-111.8891803086939,60.0,1.5,coverage
15,40.75907882873187,-111.88912022543684,60.0,1.5,coverage
16,40.75915984527728,-111.88906014203509,60.0,1.5,coverage
17,40.75924086179181,-111.88900005848863,60.0,1.5,coverage
18,40.759321878275436,-111.88893997479748,60.0,1.5,coverage
19,40.75940289472816,-111.88887989096162,60.0,1.5,coverage
20,40.75948391115001,-111.88881980698103,60.0,1.5,coverage
21,40.75956492754095,-111.88875972285575,60.0,1.5,coverage
22,40.759645943901006,-111.88869963858575,60.0,1.5,coverage
23,40.75972696023017,-111.88863955417105,60.0,1.5,coverage
24,40.759807976528435,-111.88857946961163,60.0,1.5,coverage
25,40.7598889927958,-111.8885193849075,60.0,1.5,coverage
26,40.75997000903227,-111.88845930005866,60.0,1.5,coverage
27,40.76005102523785,-111.8883992150651,60.0,1.5,coverage
28,40.76013204141254,-111.88833912992682,60.0,1.5,coverage
29,40.760213057556314,-111.88827904464384,60.0,1.5,coverage
30,40.76029407366922,-111.88821895921615,60.0,1.5,coverage
31,40.760375089751214,-111.88815887364372,60.0,1.5,coverage
32,40.76045610580231,-111.8880987879266,60.0,1.5,coverage
33,40.760471250823656,-111.88811645709096,240.0,1.5,coverage
34,40.76038975694603,-111.88817689717361,240.0,1.5,coverage
35,40.76030826303712,-111.88823733710981,240.0,1.5,coverage
36,40.76022676909697,-111.88829777689959,240.0,1.5,coverage
37,40.760145275125566,-111.88835821654295,240.0,1.5,coverage
38,40.76006378112288,-111.88841865603987,240.0,1.5,coverage
39,40.75998228708893,-111.88847909539038,240.0,1.5,coverage
40,40.759900793023725,-111.88853953459444,240.0,1.5,coverage
41,40.75981929892727,-111.8885999736521,240.0,1.5,coverage
42,40.759737804799556,-111.88866041256333,240.0,1.5,coverage
43,40.759656310640565,-111.88872085132813,240.0,1.5,coverage
44,40.75957481645033,-111.88878128994652,240.0,1.5,coverage
45,40.759493322228835,-111.88884172841847,240.0,1.5,coverage
46,40.759411827976066,-111.888902166744,240.0,1.5,coverage
47,40.759330333692056,-111.88896260492312,240.0,1.5,coverage
48,40.759248839376774,-111.88902304295583,240.0,1.5,coverage
49,40.75916734503025,-111.8890834808421,240.0,1.5,coverage
50,40.759085850652454,-111.88914391858196,240.0,1.5,coverage
51,40.7590043562434,-111.88920435617541,240.0,1.5,coverage
52,40.759020950569386,-111.88922095024918,60.0,1.5,coverage
53,40.75910236446084,-111.88916057238099,60.0,1.5,coverage
54,40.75918377832109,-111.88910019436666,60.0,1.5,coverage
55,40.75926519215014,-111.8890398162062,60.0,1.5,coverage
56,40.75934660594799,-111.88897943789962,60.0,1.5,coverage
57,40.75942801971464,-111.88891905944689,60.0,1.5,coverage
58,40.759509433450106,-111.88885868084806,60.0,1.5,coverage
59,40.75959084715437,-111.88879830210307,60.0,1.5,coverage
60,40.75967226082743,-111.88873792321196,60.0,1.5,coverage
61,40.759753674469295,-111.88867754417471,60.0,1.5,coverage
62,40.759835088079974,-111.88861716499135,60.0,1.5,coverage
63,40.75991650165944,-111.88855678566183,60.0,1.5,coverage
64,40.75999791520771,-111.88849640618618,60.0,1.5,coverage
65,40.76007932872479,-111.88843602656439,60.0,1.5,coverage
66,40.76016074221066,-111.88837564679646,60.0,1.5,coverage
67,40.76024215566534,-111.8883152668824,60.0,1.5,coverage
68,40.760323569088804,-111.88825488682221,60.0,1.5,coverage
69,40.76040498248109,-111.88819450661587,60.0,1.5,coverage
70,40.76048639584217,-111.8881341262634,60.0,1.5,coverage
71,40.76050154085786,-111.88815179544385,240.0,1.5,coverage
72,40.760420208013365,-111.88821211606619,240.0,1.5,coverage
73,40.76033887513772,-111.88827243654265,240.0,1.5,coverage
74,40.76025754223093,-111.8883327568733,240.0,1.5,coverage
75,40.76017620929303,-111.88839307705808,240.0,1.5,coverage
76,40.76009487632397,-111.88845339709701,240.0,1.5,coverage
77,40.76001354332379,-111.8885137169901,240.0,1.5,coverage
78,40.75993221029244,-111.88857403673734,240.0,1.5,coverage
79,40.759850877229994,-111.88863435633873,240.0,1.5,coverage
80,40.75976954413639,-111.88869467579427,240.0,1.5,coverage
81,40.75968821101164,-111.88875499510398,240.0,1.5,coverage
82,40.759606877855774,-111.88881531426783,240.0,1.5,coverage
83,40.75952554466876,-111.88887563328585,240.0,1.5,coverage
84,40.75944421145063,-111.88893595215802,240.0,1.5,coverage
85,40.759362878201344,-111.88899627088435,240.0,1.5,coverage
86,40.759281544920924,-111.88905658946484,240.0,1.5,coverage
87,40.759200211609375,-111.88911690789949,240.0,1.5,coverage
88,40.759118878266705,-111.8891772261883,240.0,1.5,coverage
89,40.75903754489288,-111.88923754433125,240.0,1.5,coverage
90,40.759054139213845,-111.8892541384216,60.0,1.5,coverage
91,40.759135392070014,-111.88919388000386,60.0,1.5,coverage
92,40.75921664489511,-111.88913362144056,60.0,1.5,coverage
93,40.759297897689144,-111.88907336273171,60.0,1.5,coverage
94,40.759379150452105,-111.88901310387732,60.0,1.5,coverage
95,40.759460403184,-111.88895284487735,60.0,1.5,coverage
96,40.759541655884796,-111.88889258573185,60.0,1.5,coverage
97,40.75962290855454,-111.88883232644079,60.0,1.5,coverage
98,40.7597041611932,-111.88877206700418,60.0,1.5,coverage
99,40.75978541380079,-111.888711807422,60.0,1.5,coverage
100,40.759866666377306,-111.88865154769427,60.0,1.5,coverage
101,40.75994791892275,-111.88859128782099,60.0,1.5,coverage
102,40.76002917143711,-111.88853102780214,60.0,1.5,coverage
103,40.760110423920395,-111.88847076763774,60.0,1.5,coverage
104,40.76019167637262,-111.88841050732778,60.0,1.5,coverage
105,40.76027292879375,-111.88835024687226,60.0,1.5,coverage
106,40.76035418118382,-111.88828998627118,60.0,1.5,coverage
107,40.7604354335428,-111.88822972552452,60.0,1.5,coverage
108,40.76051668587071,-111.88816946463233,60.0,1.5,coverage
109,40.760531830880744,-111.88818713382884,240.0,1.5,coverage
110,40.76045065906944,-111.88824733499095,240.0,1.5,coverage
111,40.76036948722714,-111.88830753600776,240.0,1.5,coverage
112,40.7602883153538,-111.88836773687932,240.0,1.5,coverage
113,40.76020714344946,-111.88842793760558,240.0,1.5,coverage
114,40.760125971514114,-111.88848813818659,240.0,1.5,coverage
115,40.760044799547735,-111.88854833862233,240.0,1.5,coverage
