waypoint_id,latitude,longitude,heading,speed,waypoint_type
1,40.76002060843771,-111.8892599077936,240.0,1.5,coverage
2,40.75994180680843,-111.8893183490014,240.0,1.5,coverage
3,40.75986300514992,-111.8893767900723,240.0,1.5,coverage
4,40.75978420346218,-111.8894352310063,240.0,1.5,coverage
5,40.75970540174522,-111.8894936718034,240.0,1.5,coverage
6,40.759626599999024,-111.88955211246358,240.0,1.5,coverage
7,40.759547798223615,-111.88961055298687,240.0,1.5,coverage
8,40.75946899641898,-111.88966899337325,240.0,1.5,coverage
9,40.75948559067443,-111.88968558767903,60.0,1.5,coverage
10,40.75956779620652,-111.88962462305508,60.0,1.5,coverage
11,40.759650001706795,-111.88956365828216,60.0,1.5,coverage
12,40.759732207175276,-111.88950269336024,60.0,1.5,coverage
13,40.75981441261195,-111.88944172828933,60.0,1.5,coverage
14,40.75989661801682,-111.88938076306944,60.0,1.5,coverage
15,40.75997882338988,-111.88931979770057,60.0,1.5,coverage
16,40.76006102873113,-111.88925883218269,60.0,1.5,coverage
17,40.76014323404058,-111.88919786651584,60.0,1.5,coverage
18,40.760225439318226,-111.8891369007,60.0,1.5,coverage
19,40.76030764456406,-111.88907593473516,60.0,1.5,coverage
20,40.760389849778086,-111.88901496862134,60.0,1.5,coverage
21,40.76047205496032,-111.88895400235852,60.0,1.5,coverage
22,40.76055426011073,-111.88889303594671,60.0,1.5,coverage
23,40.76063646522934,-111.8888320693859,60.0,1.5,coverage
24,40.76071867031613,-111.88877110267609,60.0,1.5,coverage
25,40.76070751883436,-111.88880827457712,240.0,1.5,coverage
26,40.76062716345331,-111.88886786940138,240.0,1.5,coverage
27,40.76054680804185,-111.88892746408328,240.0,1.5,coverage
28,40.7604664526,-111.88898705862282,240.0,1.5,coverage
29,40.76038609712778,-111.88904665301997,240.0,1.5,coverage
30,40.76030574162513,-111.8891062472748,240.0,1.5,coverage
31,40.76022538609212,-111.88916584138724,240.0,1.5,coverage
32,40.76014503052871,-111.88922543535733,240.0,1.5,coverage
33,40.7600646749349,-111.88928502918505,240.0,1.5,coverage
34,40.75998431931071,-111.88934462287041,240.0,1.5,coverage
35,40.75990396365612,-111.88940421641342,240.0,1.5,coverage
36,40.75982360797115,-111.88946380981407,240.0,1.5,coverage
37,40.75974325225579,-111.88952340307235,240.0,1.5,coverage
38,40.75966289651004,-111.88958299618828,240.0,1.5,coverage
39,40.75958254073389,-111.88964258916188,240.0,1.5,coverage
40,40.759502184927356,-111.8897021819931,240.0,1.5,coverage
41,40.75951877917778,-111.88971877631543,60.0,1.5,coverage
42,40.75959728525837,-111.8896605552766,60.0,1.5,coverage
43,40.75967579130993,-111.8896023341019,60.0,1.5,coverage
44,40.7597542973325,-111.8895441127913,60.0,1.5,coverage
45,40.75983280332606,-111.88948589134483,60.0,1.5,coverage
46,40.759911309290615,-111.88942766976248,60.0,1.5,coverage
47,40.75998981522617,-111.88936944804426,60.0,1.5,coverage
48,40.76006832113269,-111.88931122619016,60.0,1.5,coverage
49,40.76014682701023,-111.88925300420017,60.0,1.5,coverage
50,40.76022533285876,-111.88919478207431,60.0,1.5,coverage
51,40.76030383867828,-111.88913655981256,60.0,1.5,coverage
52,40.76038234446879,-111.88907833741492,60.0,1.5,coverage
53,40.760460850230274,-111.8890201148814,60.0,1.5,coverage
54,40.76053935596277,-111.888961892212,60.0,1.5,coverage
55,40.76061786166624,-111.88890366940672,60.0,1.5,coverage
56,40.76069636734072,-111.88884544646552,60.0,1.5,coverage
57,40.760685215835224,-111.88888261834134,240.0,1.5,coverage
58,40.7606030844409,-111.88894353018696,240.0,1.5,coverage
59,40.76052095301485,-111.88900444188384,240.0,1.5,coverage
60,40.76043882155704,-111.889065353432,240.0,1.5,coverage
61,40.760356690067475,-111.88912626483143,240.0,1.5,coverage
62,40.76027455854617,-111.88918717608215,240.0,1.5,coverage
63,40.76019242699309,-111.88924808718413,240.0,1.5,coverage
64,40.76011029540829,-111.88930899813741,240.0,1.5,coverage
65,40.76002816379173,-111.88936990894194,240.0,1.5,coverage
66,40.75994603214343,-111.88943081959776,240.0,1.5,coverage
67,40.75986390046337,-111.88949173010487,240.0,1.5,coverage
68,40.759781768751566,-111.88955264046324,240.0,1.5,coverage
69,40.75969963700802,-111.88961355067292,240.0,1.5,coverage
70,40.75961750523273,-111.88967446073384,240.0,1.5,coverage
71,40.75953537342567,-111.8897353706461,240.0,1.5,coverage
72,40.75955196767104,-111.88975196498501,60.0,1.5,coverage
73,40.75963211762806,-111.88969252484985,60.0,1.5,coverage
74,40.759712267554825,-111.88963308457308,60.0,1.5,coverage
75,40.75979241745138,-111.88957364415467,60.0,1.5,coverage
